transaction_id,customer_id,amount,currency,timestamp,merchant_category,description
TXN00001,CUST009,74.27,USD,1704115364,restaurant,"Factory"
TXN00002,CUST018,24.08,USD,1704111387,entertainment,"Disney+"
TXN00003,CUST017,24.55,USD,1704114140,coffee,"Coffee"
TXN00004,CUST008,37.87,USD,1704110647,gas,"Station"
TXN00005,CUST007,29.35,USD,1704123743,entertainment,"Store"
TXN00006,CUST014,9.17,USD,1704140518,entertainment,"Hulu"
TXN00007,CUST007,29.23,USD,1704111671,restaurant,"Olive"
TXN00008,CUST021,11.26,USD,1704127976,coffee,"Coffee"
TXN00009,CUST017,5.42,USD,1704131421,coffee,"Coffee"
TXN00010,CUST021,24.09,USD,1704111647,coffee,"Bros"
TXN00011,CUST009,88.16,USD,1704140903,gas,"Station"
TXN00012,CUST009,49.67,USD,1704122709,grocery,"Joe's"
TXN00013,CUST023,43.50,USD,1704120482,entertainment,"Store"
TXN00014,CUST003,284.66,USD,1704130186,retail,"Store"
TXN00015,CUST003,66.41,USD,1704135027,grocery,"Grocery"
TXN00016,CUST007,11.88,USD,1704131887,coffee,"Hortons"
TXN00017,CUST013,40.85,USD,1704136586,gas,"BP"
TXN00018,CUST007,103.32,USD,1704126104,retail,"Electronics"
TXN00019,CUST004,85.82,USD,1704142160,grocery,"Foods"
TXN00020,CUST010,231.12,USD,1704114319,retail,"Best"
TXN00021,CUST019,45.18,USD,1704138656,restaurant,"Subway"
TXN00022,CUST006,45.72,USD,1704114126,restaurant,"Bell"
TXN00023,CUST008,83.83,USD,1704133275,gas,"Gas"
TXN00024,CUST020,143.10,USD,1704121029,retail,"Apple"
TXN00025,CUST022,27.44,USD,1704131393,coffee,"Dunkin'"
TXN00026,CUST021,139.62,USD,1704142073,restaurant,"Subway"
TXN00027,CUST011,73.92,USD,1704119062,gas,"Exxon"
TXN00028,CUST001,17.07,USD,1704141027,coffee,"Bottle"
TXN00029,CUST007,32.51,USD,1704120821,entertainment,"Regal"
TXN00030,CUST001,50.52,USD,1704126995,restaurant,"KFC"
TXN00031,CUST017,238.17,USD,1704140516,retail,"Microsoft"
TXN00032,CUST010,16.76,USD,1704141575,entertainment,"Regal"
TXN00033,CUST007,121.78,USD,1704137607,gas,"Gas"
TXN00034,CUST010,26.07,USD,1704122866,coffee,"Blue"
TXN00035,CUST024,18.97,USD,1704140418,restaurant,"KFC"
TXN00036,CUST009,35.43,USD,1704117611,entertainment,"Cinema"
TXN00037,CUST010,118.86,USD,1704130536,retail,"Walmart"
TXN00038,CUST002,73.06,USD,1704138166,restaurant,"Garden"
TXN00039,CUST010,11.33,USD,1704132491,entertainment,"Cinema"
TXN00040,CUST014,85.46,USD,1704112428,restaurant,"Subway"
TXN00041,CUST018,205.88,USD,1704138696,grocery,"Market"
TXN00042,CUST018,84.32,USD,1704112623,retail,"Purchase"
TXN00043,CUST013,209.15,USD,1704118314,retail,"Buy"
TXN00044,CUST019,15.81,USD,1704122589,entertainment,"Xbox"
TXN00045,CUST001,222.92,USD,1704118768,retail,"Purchase"
TXN00046,CUST003,93.05,USD,1704121744,restaurant,"Chipotle"
TXN00047,CUST006,22.95,USD,1704136030,entertainment,"PlayStation"
TXN00048,CUST008,26.42,USD,1704111306,entertainment,"iTunes"
TXN00049,CUST012,38.53,USD,1704130913,gas,"BP"
TXN00050,CUST001,226.07,USD,1704140438,retail,"Amazon"
TXN00051,CUST004,35.62,USD,1704120304,entertainment,"AMC"
TXN00052,CUST014,185.73,USD,1704141580,retail,"Purchase"
TXN00053,CUST007,102.24,USD,1704128558,grocery,"King"
TXN00054,CUST008,63.94,USD,1704122487,grocery,"Market"
TXN00055,CUST005,5.31,USD,1704121396,entertainment,"Store"
TXN00056,CUST024,145.68,USD,1704132433,restaurant,"Capital"
TXN00057,CUST010,126.82,USD,1704121112,gas,"Valero"
TXN00058,CUST017,81.68,USD,1704120396,grocery,"Market"
TXN00059,CUST005,16.91,USD,1704136834,coffee,"Starbucks"
TXN00060,CUST013,16.92,USD,1704134247,restaurant,"Panera"
TXN00061,CUST019,47.00,USD,1704118765,entertainment,"AMC"
TXN00062,CUST005,95.44,USD,1704121021,gas,"Station"
TXN00063,CUST009,23.69,USD,1704136305,restaurant,"Bell"
TXN00064,CUST009,10.94,USD,1704135052,coffee,"Tim"
TXN00065,CUST021,19.41,USD,1704136864,grocery,"Market"
TXN00066,CUST016,75.49,USD,1704140718,gas,"Gas"
TXN00067,CUST002,52.89,USD,1704123097,entertainment,"Disney+"
TXN00068,CUST022,210.57,USD,1704129911,retail,"Buy"
TXN00069,CUST004,32.83,USD,1704127784,entertainment,"Store"
TXN00070,CUST020,157.80,USD,1704124333,grocery,"Market"
TXN00071,CUST005,9.11,USD,1704124550,coffee,"Dunkin'"
TXN00072,CUST017,155.89,USD,1704120612,restaurant,"Chipotle"
TXN00073,CUST021,77.19,USD,1704117784,grocery,"Target"
TXN00074,CUST017,5.95,USD,1704126233,coffee,"Coffee"
TXN00075,CUST012,68.15,USD,1704118716,restaurant,"KFC"
TXN00076,CUST009,153.53,USD,1704122466,restaurant,"The"
TXN00077,CUST002,313.10,USD,1704121858,retail,"GameStop"
TXN00078,CUST002,337.67,USD,1704121107,retail,"Purchase"
TXN00079,CUST022,12.75,USD,1704117358,entertainment,"iTunes"
TXN00080,CUST004,29.96,USD,1704140318,entertainment,"Netflix"
TXN00081,CUST010,114.52,USD,1704114060,restaurant,"Grille"
